,rank,seasons,titlesWon,leaguesWon,divsWon1,divsWon2,divsWon3,cupsWon6,cupsWon5,cupsWon4,cupsWon3,cupsWon2,cupsWon1,cupsWon0,totalCupsWon,cupsEntered,cupWinPercent,promotions,relegations,wins,ties,losses,maxDivision,goals,goalsAgainst,averageGoalsPerGame,averageGoalsAgainstPerGame,cleanSheets,starLevel,agreggateRecord,clubName,clubId,currentDivision,rankingPoints,clubInfo,platform
350,7866,109,54,44,3,4,3,5,0,0,0,0,0,0,0,0,0,16,7,652,133,198,10,2872,1509,2.92,1.54,0,10,652-133-198,Te Ganhei,5823719,10,7866,"{'name': 'Te Ganhei', 'clubId': 5823719, 'regionId': 5456205, 'teamId': 111769, 'customKit': {'stadName': 'Mar de Bagres', 'kitId': '915611648', 'isCustomTeam': '1', 'customKitId': '7626', 'customAwayKitId': '7670', 'customKeeperKitId': '5020', 'kitColor1': '592397', 'kitColor2': '14358546', 'kitColor3': '592397', 'kitColor4': '15921906', 'kitAColor1': '15921906', 'kitAColor2': '14358546', 'kitAColor3': '592397', 'kitAColor4': '592397', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99120119'}}",xboxone
351,7859,70,31,20,5,3,3,3,0,3,1,0,0,0,4,4,100,13,4,408,63,149,10,1865,1065,3.01,1.72,0,10,408-63-149,Final Frontier,10992349,10,7859,"{'name': 'Final Frontier', 'clubId': 10992349, 'regionId': 4344147, 'teamId': 243, 'customKit': {'stadName': 'Old Trafford', 'kitId': '1990656', 'isCustomTeam': '0', 'customKitId': '7538', 'customAwayKitId': '7541', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '8654629', 'kitAColor3': '8237531', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160217'}}",xboxone
352,7853,63,23,12,4,4,3,0,0,0,0,0,0,0,0,0,0,14,5,337,86,141,10,1552,1048,2.75,1.86,0,10,337-86-141,Doody Bros,486269,10,7853,"{'name': 'Doody Bros', 'clubId': 486269, 'regionId': 4543827, 'teamId': 110395, 'customKit': {'stadName': 'Doodoo Park', 'kitId': '904355841', 'isCustomTeam': '0', 'customKitId': '7629', 'customAwayKitId': '7629', 'customKeeperKitId': '5004', 'kitColor1': '15921906', 'kitColor2': '7192366', 'kitColor3': '15921906', 'kitColor4': '14655653', 'kitAColor1': '14655653', 'kitAColor2': '592397', 'kitAColor3': '14655653', 'kitAColor4': '7192366', 'dCustomKit': '1', 'crestColor': '13574250', 'crestAssetId': '99131008'}}",xboxone
353,7851,22,21,12,2,4,3,0,0,0,0,0,0,0,0,0,0,9,0,159,9,18,10,669,181,3.60,0.97,0,9,159-9-18,XVC Netherlands,18966507,10,7851,"{'name': 'XVC Netherlands', 'clubId': 18966507, 'regionId': 4344147, 'teamId': 105035, 'customKit': {'stadName': 'Stadion 23. Maj', 'kitId': '1720893441', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160128'}}",xboxone
354,7837,88,27,16,4,4,3,2,0,0,0,0,0,0,0,0,0,13,4,479,125,184,10,2260,1435,2.87,1.82,0,10,479-125-184,Phitte,5078174,10,7837,"{'name': 'Phitte', 'clubId': 5078174, 'regionId': 5129557, 'teamId': 1352, 'customKit': {'stadName': 'Old Trafford', 'kitId': '22151168', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160829'}}",xboxone
355,7826,84,34,24,3,4,3,1,0,0,0,0,0,0,0,0,0,14,5,485,104,166,10,2303,1460,3.05,1.93,0,10,485-104-166,Weah Gueye,18009,10,7826,"{'name': 'Weah Gueye', 'clubId': 18009, 'regionId': 4344147, 'teamId': 112893, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '924819456', 'isCustomTeam': '0', 'customKitId': '7539', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160104'}}",xboxone
356,7808,61,27,15,6,3,3,1,0,0,0,0,0,0,0,0,0,16,7,337,78,132,10,1459,940,2.67,1.72,0,10,337-78-132,Os Cansados,21269717,10,7808,"{'name': 'Os Cansados', 'clubId': 21269717, 'regionId': 5456205, 'teamId': 219, 'customKit': {'stadName': 'PALACIO DA PANCADARIA', 'kitId': '1794048', 'isCustomTeam': '0', 'customKitId': '7539', 'customAwayKitId': '7633', 'customKeeperKitId': '5003', 'kitColor1': '13979995', 'kitColor2': '1841428', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '12762028', 'kitAColor2': '1909296', 'kitAColor3': '9838384', 'kitAColor4': '9838384', 'dCustomKit': '1', 'crestColor': '13179675', 'crestAssetId': '99130501'}}",xboxone
357,7785,180,106,97,3,3,3,21,0,5,8,0,0,13,13,17,76,11,2,1189,195,251,10,5241,2517,3.21,1.54,0,10,1189-195-251,Fifa Is Ruined,850104,10,7785,"{'name': 'Fifa Is Ruined', 'clubId': 850104, 'regionId': 4344147, 'teamId': 112809, 'customKit': {'stadName': 'San Siro', 'kitId': '1848262656', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161011'}}",xboxone
358,7784,61,26,14,5,4,3,0,0,0,0,0,0,0,0,0,0,14,5,350,60,133,10,1604,948,2.95,1.75,0,10,350-60-133,LaPerdon eSport,19739312,10,7784,"{'name': 'LaPerdon eSport', 'clubId': 19739312, 'regionId': 5456205, 'teamId': 11, 'customKit': {'stadName': 'Olympiastadion', 'kitId': '90112', 'isCustomTeam': '0', 'customKitId': '7629', 'customAwayKitId': '7629', 'customKeeperKitId': '5011', 'kitColor1': '16687883', 'kitColor2': '15101200', 'kitColor3': '592397', 'kitColor4': '15101200', 'kitAColor1': '592397', 'kitAColor2': '15101200', 'kitAColor3': '15921906', 'kitAColor4': '592397', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160521'}}",xboxone
359,7773,59,22,15,3,2,2,0,0,0,0,0,0,0,0,0,0,10,1,332,76,135,10,1463,835,2.69,1.54,0,10,332-76-135,KONGs XI,810329,10,7773,"{'name': 'KONGs XI', 'clubId': 810329, 'regionId': 4344147, 'teamId': 11, 'customKit': {'stadName': 'THE PENTHOUSE', 'kitId': '180224', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160424'}}",xboxone
360,7772,48,17,10,0,4,3,1,0,1,0,0,0,0,1,1,100,11,2,261,66,107,10,1204,696,2.77,1.60,0,10,261-66-107,Genco Pura FC,4538009,10,7772,"{'name': 'Genco Pura FC', 'clubId': 4538009, 'regionId': 4543827, 'teamId': 44, 'customKit': {'stadName': ""Losa's Playground"", 'kitId': '360449', 'isCustomTeam': '0', 'customKitId': '7539', 'customAwayKitId': '7509', 'customKeeperKitId': '5010', 'kitColor1': '6316643', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160126'}}",xboxone
361,7755,31,17,9,1,4,3,0,0,0,0,0,0,0,0,0,0,10,1,190,27,45,10,784,360,2.99,1.37,0,10,190-27-45,Luv is Rage,15894408,10,7755,"{'name': 'Luv is Rage', 'clubId': 15894408, 'regionId': 4543827, 'teamId': 241, 'customKit': {'stadName': 'SPOTIFY CAMP NOU', 'kitId': '360449', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160108'}}",xboxone
